1,Lift 35-37,215
2,Lift 31-32,265
3,Lift 33,280
4,Lift 24,295
5,Lift 22-23,315
6,Lift 27-30,315
7,Lift 21,375
8,Lift 19-20,395
9,Lift 25-26,395
10,Lift 27-28,465
11,Lift 13-15,485
12,Lift 3-4 & 6,535
13,Lift 1-2,555
14,Lift 10-12,565
15,Lift 7-9,585
16,Lift 5,635
